epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,4634.32,1.51957,1.13099,1.83663,0.51692,0.54845,0.54839,0.26925,1.77871,1.14263,2.14697,0.000539368,0.000539368,0.000539368
59,4702.39,1.50721,1.13756,1.85194,0.53769,0.54594,0.56953,0.27884,1.75899,1.14312,2.10209,0.00052631,0.00052631,0.00052631
60,4771.24,1.54612,1.15322,1.87979,0.63079,0.61104,0.6046,0.28779,1.76724,1.11898,2.1278,0.000513235,0.000513235,0.000513235
61,4839.45,1.50943,1.10772,1.84026,0.69506,0.57195,0.59103,0.27864,1.76698,1.11058,2.11746,0.00050015,0.00050015,0.00050015
62,4907.77,1.49411,1.12897,1.84778,0.59505,0.57843,0.59773,0.28293,1.7728,1.14252,2.1312,0.000487065,0.000487065,0.000487065
63,4976.28,1.49889,1.10263,1.82528,0.6833,0.57717,0.59128,0.28542,1.75617,1.09054,2.11423,0.00047399,0.00047399,0.00047399
64,5044.36,1.48585,1.07721,1.81792,0.59348,0.58257,0.58668,0.28424,1.76359,1.08635,2.12359,0.000460932,0.000460932,0.000460932
65,5113.08,1.49555,1.08873,1.8422,0.63892,0.57988,0.58896,0.28258,1.75617,1.11282,2.12121,0.000447901,0.000447901,0.000447901
66,5181.47,1.48711,1.0843,1.83405,0.54864,0.54529,0.57875,0.28629,1.76217,1.09677,2.11425,0.000434906,0.000434906,0.000434906
67,5250.02,1.47401,1.06427,1.81395,0.58581,0.52418,0.56263,0.27099,1.79545,1.12209,2.15694,0.000421956,0.000421956,0.000421956
68,5318.5,1.49267,1.07142,1.82402,0.65498,0.56218,0.56361,0.27815,1.75764,1.0917,2.11614,0.00040906,0.00040906,0.00040906
69,5386.72,1.46174,1.06092,1.80585,0.71786,0.56065,0.59881,0.28531,1.76995,1.0935,2.13204,0.000396225,0.000396225,0.000396225
70,5454.92,1.44536,1.02749,1.78909,0.59409,0.51651,0.57172,0.28496,1.74693,1.09442,2.11297,0.000383462,0.000383462,0.000383462
71,5523.32,1.4423,1.03891,1.78824,0.6273,0.54732,0.59206,0.2859,1.77403,1.09182,2.13672,0.000370779,0.000370779,0.000370779
72,5591.62,1.44173,1.02422,1.77814,0.70926,0.53258,0.57757,0.28436,1.77651,1.10706,2.15106,0.000358185,0.000358185,0.000358185
73,5659.97,1.44672,1.01684,1.78955,0.71355,0.53805,0.5873,0.28533,1.77407,1.09041,2.1351,0.000345688,0.000345688,0.000345688
74,5728.51,1.44177,1.00779,1.77646,0.55587,0.62322,0.58115,0.28642,1.75623,1.09035,2.12472,0.000333297,0.000333297,0.000333297
75,5796.69,1.44864,1.02533,1.80253,0.58546,0.56942,0.59409,0.29225,1.74322,1.07713,2.11333,0.00032102,0.00032102,0.00032102
76,5863.56,1.43016,1.00088,1.77364,0.65507,0.56526,0.6078,0.29525,1.7543,1.07249,2.12218,0.000308866,0.000308866,0.000308866
77,5931.54,1.43107,0.99495,1.77778,0.54705,0.60287,0.57808,0.28693,1.77166,1.09485,2.14888,0.000296843,0.000296843,0.000296843
78,6000.16,1.40569,0.96995,1.74327,0.61007,0.55208,0.57334,0.28533,1.75666,1.09655,2.13932,0.000284959,0.000284959,0.000284959
79,6066.77,1.42936,0.98553,1.76951,0.61071,0.56839,0.58391,0.28681,1.74858,1.06295,2.12762,0.000273223,0.000273223,0.000273223
80,6133.46,1.4061,0.95716,1.7521,0.60432,0.54929,0.589,0.29153,1.76538,1.0504,2.14382,0.000261642,0.000261642,0.000261642
81,6201.22,1.37592,0.93031,1.7217,0.6414,0.55159,0.59768,0.29243,1.75903,1.08845,2.1364,0.000250225,0.000250225,0.000250225
82,6266.88,1.40331,0.96402,1.76052,0.5733,0.58436,0.5909,0.2879,1.77112,1.06277,2.16564,0.000238979,0.000238979,0.000238979
83,6332.2,1.39489,0.96092,1.73585,0.73846,0.55614,0.59392,0.28783,1.77039,1.06731,2.15547,0.000227912,0.000227912,0.000227912
84,6396.67,1.38418,0.9272,1.72963,0.71284,0.55311,0.58006,0.28759,1.75314,1.08301,2.13679,0.000217032,0.000217032,0.000217032
85,6461.71,1.37723,0.92785,1.73106,0.61848,0.5533,0.58179,0.29315,1.75764,1.07676,2.14346,0.000206346,0.000206346,0.000206346
86,6526.98,1.37346,0.93474,1.74248,0.72456,0.5653,0.5926,0.28914,1.77599,1.06946,2.17524,0.000195861,0.000195861,0.000195861
87,6592.11,1.36523,0.92166,1.72924,0.61873,0.55901,0.58216,0.29055,1.75477,1.05908,2.15374,0.000185584,0.000185584,0.000185584
88,6657.41,1.36723,0.917,1.72848,0.60675,0.56014,0.58813,0.28763,1.75572,1.05223,2.14473,0.000175523,0.000175523,0.000175523
89,6722.93,1.35481,0.90898,1.71698,0.60893,0.54883,0.57009,0.28324,1.76612,1.06574,2.16176,0.000165685,0.000165685,0.000165685
90,6788.87,1.36762,0.91631,1.7272,0.70283,0.57997,0.58905,0.28986,1.76074,1.05501,2.16608,0.000156076,0.000156076,0.000156076
91,6855.36,1.34888,0.90886,1.71173,0.68131,0.55204,0.57039,0.28649,1.76632,1.0779,2.16871,0.000146703,0.000146703,0.000146703
92,6919.46,1.3216,0.88624,1.6896,0.60969,0.55001,0.57979,0.28448,1.78428,1.07507,2.18818,0.000137572,0.000137572,0.000137572
93,6983.67,1.32315,0.87816,1.68761,0.63314,0.55531,0.57829,0.28192,1.79259,1.0761,2.21005,0.000128689,0.000128689,0.000128689
94,7047.86,1.32815,0.87928,1.68093,0.62825,0.56412,0.58576,0.28892,1.77533,1.06801,2.18715,0.000120061,0.000120061,0.000120061
95,7113.18,1.33625,0.8987,1.69694,0.60422,0.58041,0.59712,0.29316,1.75486,1.05243,2.16168,0.000111694,0.000111694,0.000111694
96,7178.58,1.31861,0.87409,1.6756,0.68611,0.55031,0.58081,0.28652,1.77024,1.06892,2.18669,0.000103592,0.000103592,0.000103592
97,7243.91,1.31763,0.88296,1.6866,0.67719,0.57417,0.58214,0.28828,1.76597,1.06778,2.1965,9.57629e-05,9.57629e-05,9.57629e-05
98,7309.14,1.32122,0.87875,1.68787,0.59998,0.54852,0.56891,0.28569,1.76725,1.05999,2.19221,8.82105e-05,8.82105e-05,8.82105e-05
99,7375.01,1.33026,0.88698,1.68308,0.59295,0.53829,0.56574,0.28061,1.77939,1.06645,2.20314,8.09405e-05,8.09405e-05,8.09405e-05
100,7440.2,1.29448,0.85941,1.67084,0.72348,0.56563,0.58496,0.28543,1.77343,1.07293,2.20196,7.39578e-05,7.39578e-05,7.39578e-05
101,7506.15,1.31838,0.88468,1.66905,0.60122,0.55685,0.56724,0.28253,1.77233,1.06501,2.19608,6.72672e-05,6.72672e-05,6.72672e-05
102,7571.69,1.29845,0.85532,1.67638,0.6365,0.55159,0.57985,0.28584,1.77401,1.06943,2.19709,6.08733e-05,6.08733e-05,6.08733e-05
103,7637.26,1.30779,0.86075,1.67841,0.56894,0.58022,0.57764,0.28818,1.76895,1.05892,2.19166,5.47804e-05,5.47804e-05,5.47804e-05
104,7702.69,1.28546,0.84202,1.66726,0.59647,0.564,0.58248,0.28916,1.76264,1.05326,2.17971,4.89927e-05,4.89927e-05,4.89927e-05
105,7768.31,1.29051,0.83797,1.66064,0.58646,0.5764,0.57912,0.28758,1.76987,1.0583,2.19485,4.35143e-05,4.35143e-05,4.35143e-05
106,7834.06,1.28679,0.83853,1.65596,0.71361,0.55631,0.57776,0.28856,1.77251,1.06116,2.20199,3.83488e-05,3.83488e-05,3.83488e-05
107,7899.92,1.27848,0.84796,1.64444,0.71639,0.54949,0.57788,0.28929,1.76257,1.04902,2.18982,3.34998e-05,3.34998e-05,3.34998e-05
108,7966.2,1.29835,0.85365,1.66778,0.72937,0.54134,0.57646,0.28948,1.76158,1.05683,2.19012,2.89707e-05,2.89707e-05,2.89707e-05
109,8031.85,1.26805,0.83589,1.65637,0.71192,0.53457,0.56719,0.28471,1.77141,1.0639,2.20836,2.47644e-05,2.47644e-05,2.47644e-05
110,8097.52,1.28834,0.85136,1.66289,0.58861,0.55327,0.5716,0.28479,1.77057,1.05468,2.21261,2.0884e-05,2.0884e-05,2.0884e-05
111,8157.62,1.18072,0.64555,1.61628,0.60362,0.54871,0.56459,0.27807,1.79192,1.09296,2.22771,1.7332e-05,1.7332e-05,1.7332e-05
112,8217.2,1.17263,0.63986,1.59839,0.60136,0.54852,0.56274,0.27584,1.80049,1.1064,2.23927,1.41109e-05,1.41109e-05,1.41109e-05
113,8277.2,1.17237,0.63802,1.60388,0.69315,0.55795,0.56751,0.27758,1.79823,1.10524,2.241,1.12229e-05,1.12229e-05,1.12229e-05
114,8337.18,1.17472,0.64042,1.61323,0.70335,0.55539,0.56229,0.27553,1.80222,1.11333,2.248,8.67003e-06,8.67003e-06,8.67003e-06
115,8397.14,1.17419,0.63591,1.6106,0.69652,0.56419,0.56958,0.27831,1.79252,1.09883,2.23722,6.45398e-06,6.45398e-06,6.45398e-06
116,8456.96,1.17038,0.63639,1.59966,0.61445,0.55243,0.57145,0.27944,1.79134,1.09599,2.23676,4.57629e-06,4.57629e-06,4.57629e-06
117,8517.08,1.17102,0.62963,1.58795,0.61189,0.55222,0.57064,0.27997,1.7908,1.08838,2.23819,3.03823e-06,3.03823e-06,3.03823e-06
118,8576.99,1.16817,0.63263,1.60797,0.69224,0.55249,0.56912,0.27909,1.79259,1.09889,2.23932,1.84087e-06,1.84087e-06,1.84087e-06
119,8636.88,1.16958,0.62816,1.60664,0.69758,0.5545,0.56832,0.27831,1.7929,1.09789,2.23905,9.85027e-07,9.85027e-07,9.85027e-07
120,8696.49,1.16329,0.62867,1.59549,0.61173,0.55528,0.57398,0.27966,1.79245,1.08654,2.24034,4.71286e-07,4.71286e-07,4.71286e-07
