epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,601.162,0.74977,2.17103,1.07495,0.8873,0.77989,0.82459,0.59329,1.08589,3.44262,1.13407,0.000338772,0.000338772,0.000338772
60,615.453,0.75825,2.23556,1.07853,0.88681,0.7986,0.83473,0.61048,1.03802,3.2685,1.13239,0.000333894,0.000333894,0.000333894
61,628.847,0.76184,2.23704,1.08217,0.90722,0.80344,0.84339,0.60653,1.03457,3.19033,1.11379,0.000328982,0.000328982,0.000328982
62,641.945,0.7695,2.25113,1.08674,0.86425,0.80285,0.8205,0.59766,1.02489,3.163,1.12142,0.000324035,0.000324035,0.000324035
63,655.489,0.7693,2.25074,1.08111,0.88013,0.79018,0.83854,0.61001,1.00621,3.35887,1.11387,0.000319058,0.000319058,0.000319058
64,670.166,0.76936,2.26331,1.08842,0.87708,0.81284,0.84472,0.60755,1.04891,3.29583,1.13437,0.000314051,0.000314051,0.000314051
65,683.526,0.75467,2.20971,1.07764,0.87611,0.80399,0.8368,0.61248,1.02766,3.41975,1.11614,0.000309017,0.000309017,0.000309017
66,696.863,0.75146,2.17732,1.07622,0.88238,0.77913,0.83307,0.60849,1.03706,3.51605,1.12635,0.000303958,0.000303958,0.000303958
67,706.842,0.75233,2.19647,1.08076,0.85989,0.79675,0.84395,0.59776,1.03346,3.2317,1.12754,0.000298877,0.000298877,0.000298877
68,717.854,0.75324,2.18585,1.07674,0.88526,0.80686,0.84509,0.62042,1.00343,3.34539,1.09617,0.000293775,0.000293775,0.000293775
69,731.901,0.74616,2.1637,1.07363,0.87129,0.79917,0.8449,0.61487,0.99776,3.25596,1.10778,0.000288656,0.000288656,0.000288656
70,746.655,0.73151,2.15727,1.06658,0.87228,0.80106,0.84149,0.61064,1.04022,3.26276,1.12636,0.00028352,0.00028352,0.00028352
71,761.087,0.73412,2.1368,1.06745,0.86798,0.80443,0.83168,0.61037,1.02142,3.54059,1.12717,0.000278371,0.000278371,0.000278371
72,774.664,0.7479,2.13222,1.07444,0.8685,0.81538,0.83903,0.6086,1.01914,3.49004,1.12448,0.00027321,0.00027321,0.00027321
73,787.422,0.71957,2.09356,1.05869,0.87544,0.77727,0.81268,0.59866,1.03451,3.71913,1.1311,0.000268041,0.000268041,0.000268041
74,796.007,0.73183,2.1154,1.06309,0.88845,0.7925,0.83422,0.61001,1.01806,3.52829,1.12025,0.000262864,0.000262864,0.000262864
75,804.838,0.73481,2.10149,1.06867,0.8656,0.80269,0.84008,0.61463,1.04738,3.53232,1.13888,0.000257683,0.000257683,0.000257683
76,813.387,0.73014,2.09441,1.06148,0.88475,0.78558,0.83461,0.60528,1.08578,3.55041,1.1465,0.0002525,0.0002525,0.0002525
77,823.746,0.72638,2.11006,1.05721,0.89222,0.77975,0.84619,0.62045,1.04999,3.56065,1.14056,0.000247317,0.000247317,0.000247317
